,Dist Name,prec_grow_av,prec_harvest_av,et_grow_av,et_harvest_av,maxT_grow_av,maxT_harvest_av,minT_grow_av,minT_harvest_av,windspeed_grow_av,windspeed_harvest_av,runoff_grow_av,runoff_harvest_av,KM5_clusterN_(maxT_growth_maxT_harvest)
2700,Ahmedabad,141.80541666666667,1.7766666666666666,99.7115,28.54125,34.42766666666668,32.068125,24.791833333333344,15.277708333333331,2.3285666666666667,1.0642916666666664,22.256,0.08354166666666667,1
2724,Amreli,98.40714285714284,1.5750000000000004,81.4117142857143,10.371428571428572,32.511714285714284,30.898571428571433,25.30114285714286,16.762142857142855,2.7002285714285716,1.3608571428571428,11.429714285714287,0.07071428571428572,1
2731,Banaskantha,107.572,2.8721428571428573,84.468,13.413571428571428,34.99,31.173571428571428,25.012285714285717,13.27357142857143,2.482742857142857,1.1450714285714285,16.232000000000003,0.14142857142857143,1
2738,Bharuch,189.26433333333333,2.283125,111.68625000000002,42.776250000000005,33.29241666666667,33.099583333333335,24.826166666666666,15.678958333333334,2.5145083333333336,1.3680833333333335,50.33975,0.10812500000000003,1
2762,Vadodara,195.81308333333334,1.7806250000000003,108.58033333333333,44.39958333333332,33.363083333333336,32.62125,24.689333333333334,15.173125000000004,2.1923416666666666,1.1135416666666667,55.00783333333333,0.08583333333333333,1
2786,Bhavnagar,110.115,1.2212500000000002,93.06383333333333,13.269166666666665,33.303666666666665,31.205416666666665,25.0925,17.017916666666665,2.8936333333333337,1.5150416666666666,9.474166666666667,0.05208333333333332,1
2798,Valsad,511.31775,6.060208333333333,116.91199999999998,55.23125000000001,31.089083333333335,31.55604166666667,24.026749999999996,17.131666666666668,2.5174666666666665,1.313,360.30166666666656,0.3116666666666667,3
2822,Dangs,334.94083333333333,7.659791666666667,112.21391666666666,43.20416666666667,30.241,30.65895833333333,21.937583333333333,14.406041666666667,2.03725,1.0061458333333333,200.64166666666668,0.4079166666666667,0
2846,Junagadh,161.50818181818184,1.17,97.92599999999999,22.251818181818184,31.674181818181818,30.73318181818182,26.029272727272726,17.54272727272727,2.795454545454545,1.4625454545454546,50.970363636363636,0.055,1
2857,Kheda,173.57150000000001,1.3777083333333333,102.92583333333336,39.189583333333324,33.72891666666667,31.989791666666665,24.631749999999997,15.013958333333333,2.081333333333333,0.9530624999999997,39.22325,0.064375,1
2881,Mehsana,138.46916666666667,1.4591666666666667,97.3098333333333,27.38333333333333,34.48941666666666,31.679583333333344,24.830416666666665,14.185833333333333,2.075441666666667,0.9272708333333334,22.106916666666667,0.06979166666666667,1
2905,Panchmahal,201.07741666666666,1.780625,107.14858333333336,42.41291666666667,33.05583333333333,31.880416666666665,24.330833333333334,14.871249999999996,2.0253916666666676,0.95775,62.80208333333334,0.08625,0
2929,Sabarkantha,156.1966666666667,1.4887499999999998,99.51566666666666,34.919375,33.668,31.096041666666668,24.60408333333334,14.056041666666665,2.098566666666667,0.9643750000000001,29.804083333333327,0.07041666666666666,1
2953,Surat,277.06566666666663,3.3589583333333324,118.15216666666664,47.29791666666667,32.32633333333333,32.673541666666665,24.527083333333326,16.27354166666667,2.5110916666666667,1.2719583333333333,131.4895,0.16770833333333332,0
2977,Surendranagar,111.39057142857143,1.3485714285714283,89.69838095238094,15.432142857142859,34.81628571428571,31.964523809523815,24.746476190476194,14.853333333333333,2.182085714285714,0.9330714285714286,12.678380952380952,0.06285714285714285,1
2998,Ajmer,86.74573913043477,2.3239130434782607,75.47382608695652,6.170869565217392,34.27947826086957,28.196086956521743,24.832608695652173,11.497391304347826,1.7861130434782608,0.8988695652173913,8.519217391304347,0.11282608695652174,1
3021,Alwar,119.75969230769232,4.277115384615384,92.34792307692307,19.908269230769232,34.44176923076923,26.330192307692315,24.967923076923075,10.415961538461538,1.5165076923076923,0.71775,16.48853846153846,0.2119230769230769,1
3047,Banswara,184.85315384615382,2.0817307692307696,103.46384615384615,26.854807692307695,32.953,30.903846153846153,24.157461538461543,14.396346153846155,2.1556769230769235,1.0250576923076922,66.40092307692308,0.1,1
3073,Bharatpur,124.31846153846155,3.9007692307692308,93.63630769230768,20.256730769230767,34.69338461538461,26.723269230769233,25.71461538461538,10.84596153846154,1.4952615384615382,0.66825,19.841230769230773,0.1925,1
3099,Bhilwara,113.18338461538464,2.6376923076923076,88.662,13.056153846153846,33.74984615384616,28.503461538461544,24.710461538461548,12.197884615384615,1.8380538461538458,0.87875,17.89115384615385,0.1294230769230769,1
3125,Bikaner,38.532333333333334,3.8377777777777786,36.55922222222222,3.695555555555557,38.0011111111111,27.841666666666665,26.193999999999996,10.717222222222222,1.7278444444444445,0.8497777777777776,1.9296666666666664,0.18888888888888888,1
3143,Bundi,141.00646153846156,3.3946153846153844,98.18892307692309,15.23923076923077,34.4586923076923,28.458846153846146,25.321307692307695,12.43,1.7944692307692307,0.8327307692307694,35.28215384615384,0.16884615384615387,1
3169,Chittorgarh,145.1743846153846,2.6790384615384615,97.82484615384615,23.477115384615388,32.979307692307685,28.849615384615387,24.05069230769231,12.53903846153846,1.905330769230769,0.9049038461538463,34.73484615384614,0.13153846153846155,1
3195,Dungarpur,149.537,1.4849999999999999,99.87753846153848,32.08692307692307,33.44707692307692,31.174999999999997,24.59199999999999,14.172499999999998,2.0592307692307696,1.0015961538461537,29.506615384615394,0.06942307692307693,1
3221,Ganganagar,34.07792307692308,3.3582692307692312,32.371461538461546,3.1938461538461542,37.746,26.78846153846154,25.97484615384615,9.428461538461537,1.6801000000000004,0.681576923076923,1.7028461538461537,0.16269230769230772,1
