Dist Code,Year,Dist Name,State Name,RICE AREA (1000 ha),RICE YIELD (kg per ha),nitrogen,phosphate,potash,prec_grow,prec_harvest,et_grow,et_harvest,maxT_grow,maxT_harvest,minT_grow,minT_harvest,runoff_grow,runoff_harvest,windspeed_grow,windspeed_harvest
527,1990,Haridwar,Uttarakhand,20.47,2437.0,866.6451572895276,141.225346201232,21.09376755646817,266.188,40.815,104.83599999999998,45.025,32.132,23.770000000000003,23.218,9.315,131.94400000000002,2.045,1.3920000000000001,0.851
527,1991,Haridwar,Uttarakhand,20.46,2292.0,1014.0631392197125,197.4646275154004,46.62359260780288,164.34199999999998,30.195,101.398,42.39,32.769999999999996,23.189999999999998,23.026,8.825,36.332,1.51,1.5296000000000003,0.77
527,1992,Haridwar,Uttarakhand,22.81,2175.0,1196.7521765913757,161.47793839835725,45.00361478439425,172.954,16.755000000000003,98.454,36.325,32.096,24.0,22.822,9.225,41.312,0.8400000000000001,1.412,0.483
527,1993,Haridwar,Uttarakhand,24.3,1956.0,1507.6199014373717,211.41898151950718,31.555071868583163,234.964,0.19,115.27000000000001,28.995,32.342000000000006,25.065,23.535999999999998,9.405000000000001,92.91600000000001,0.0,1.4036000000000002,0.7689999999999999
527,1994,Haridwar,Uttarakhand,22.36,2160.0,1484.9500977412729,238.65603942505135,61.72461930184805,243.52800000000002,3.29,96.69999999999999,27.335,32.164,24.005,23.358,9.985,122.09600000000003,0.15500000000000003,1.3914,0.673
527,1995,Haridwar,Uttarakhand,22.05,2527.0,1426.6775605749488,259.731794661191,47.19877207392197,266.04200000000003,5.17,99.612,32.335,32.738,23.564999999999998,23.958000000000002,9.95,140.46,0.255,1.6336,1.0219999999999998
527,1996,Haridwar,Uttarakhand,21.24,2452.0,1407.099843942505,267.1843712525667,48.22308665297741,234.388,0.0,124.55199999999999,31.854999999999997,32.056,23.9,23.592,8.42,69.44200000000001,0.0,1.4354,0.5755
527,1997,Haridwar,Uttarakhand,24.13,2441.0,1740.065334702259,375.20316714579053,64.08373059548254,204.346,57.02,119.38,44.565,31.722,20.36,22.66,9.52,44.944,12.575000000000001,1.173,0.5125
527,1998,Haridwar,Uttarakhand,25.09,2188.0,1914.708059137577,420.39917864476394,74.20045503080081,273.278,7.695,117.768,35.35,32.266000000000005,24.07,24.084000000000003,9.245,119.076,0.385,1.1363999999999999,0.538
527,1999,Haridwar,Uttarakhand,25.1,2286.0,1608.6677618069816,414.1530924024641,75.38658726899384,192.574,3.995,115.03599999999999,34.94,32.754000000000005,25.325,23.856,9.95,40.748000000000005,0.2,1.1332,0.6255
